"store_id","review_1","review_2","review_3","rating_1","rating_2","rating_3","food_desert"
"cYtXWMdRVaKUtpPx0gJtdA","I enjoy coming to Trade Joe's, which I do at least twice a week. My favorite place for creative chalkboards! :) 

You never see a sale because prices are...","I have visited here a few times over the past few years to get groceries and noticed that it really is a nice grocery shop. It has a lot of unique items...","Trader Joe's has been my local grocery store since moving to Davie. Located in the Tower Shops, this particular store is typically immaculate and the...",5,3,4,1
"xoH69b78RBzzebBjZ4Eojg","Been coming to this place since last year and wow always blown away by how fresh and flavorful everything is it's amazing. Incredible!!!! This place is a...","I almost hate to do this because i still think Sea Salt is a hidden gem and I'd rather keep it for myself but they are just too good now to share. 

You...","Called and stopped by to get some clams for dinner. Everything was extremely FRESH and CLEAN! The service was great as the gentleman was knowledgeable about...",5,5,5,1
"5OJjVc2vk-lJfI_wVoPPNA","Love this place!!! Except that when I first started going there, I thought all the food was somehow healthy. So I couldn't figure out why I put on weight...","This Trader Joe's seems a bit smaller than other ones I've been to in other cities.   Still it has most of the basic products that you will find at other...","Trader Joe's is a great store! They play great music so you can stroll and bop as you shop.  

The unique product lines are so delicious! Their breads,...",5,4,5,1
"2hnO5pnoEu_WdV3WfMVhJA","When I first walked into this tiny Japanese store, I wasn't expecting much: the store itself is tiny and a bit cramped, and the sushi is made to go in the...","I have not been to Sasaya since the pandemic ...
I love the sushi here (very fresh) & the limited Japanese store space
Today I stopped  by after haircut...","If you are looking for the REAL thing, this shop offers the best sushi in town.
Fresh and great quality ingredients, sushi prepare to order. 

The shop is...",5,3,5,1
"mIZl0IS2zDebPW_7__8zog","Ommg these are little savory heavens in your mouth!!!

I had this place bookmarked for years and I finally got a chance to stop by!

It's a small little...","If you're thinking about trying this spot out, run don't walk. The pies here are out of this world. They're beautifully flaky, filled to the max, super...","There's nothing better than a Meal in a Pie! The food here litterally describes the name of the place. The portions are just as big as the containers...",5,5,5,1
"zR6krq9ihe4kzQ9k241IrQ","Prices are phenomenal, the bulk section is great and staff is always friendly.

NOTE: you cannot use a credit card here so be prepared to pay in other manners.","Me and my roommate hate the winco by us. So we drive the extra 20 minutes just to go to this winco. We love it. Worth it.","Awesome prices! Where has this place been all my life? Even the variety is phenomenal.",5,4,5,1
"kpzYFxD--qJfI510nFGIhQ","Came here last week to get some lunch stuff to take to a friend's house. Bought fresh baked poppyseed strudel, a loaf of rye bread and piroshky from the...","I am from former Soviet Union and need Eastern-European food. I just wish the were more selections. I came to PNW from NYC and I am spoiled with variety!...","I love this place! Some of our favorite items: pieroshkis, kasha (Buckwheat), smoked salmon, goat cheese! They have a wonderful selection and we...",5,4,5,1
"WQP15pGTL1SiEa5kqJAhgw","My go to grocery store now that i live down south!

What i love about this grocery store is that they have more organic food options than the other regular...","Love this place because it's so close. They have everything you want PLUS local fare. We LOVE their donuts and sushi! The crew working at the sushi...","Pros, very clean store and friendly staff
Cons, long lines there was only one open at 10 am and then they have those self-scan machines, but I can't see...",5,5,2,1
"Vb-9ahsIWMLm1sU5nk6bSg","I don't always go to Federal Way, but when I do I like to stop by this TJs since they sometimes have different products I can't find in Kent.

This store is...","Stopped in yesterday to look at some items I'd seen reviewed on a few vlogging sites on YouTube. Hadn't been to a TJ's in some time. 

My initial impression...","One of my favorite store !!!

If you haven't been in one of the Trader Joe's then your missing out.  I just love the atmosphere in general because everyone...",5,5,4,1
"2ng52_awXpyqABI64Xzvhg","I Love Marlene's Market it's my Go To For Produce and more ..I appreciate they have a lot of great events to help inform you about your Health and Wellness.","Shame on my face for taking so long to leave a review. Marlene's Market & Deli has the vibe of the neighborhood corner bodega, only they sell high end...","I am currently staying next door to Marlene's @Marriott Courtyard and the absolute best part of my hotel is that they are right next door to...",5,5,5,1
"Hz4tFQPFccaUdlCKSPYDBw","Really great place to stock up on some hard to find groceries. This place pretty much has everything you need without all the fluff that many supermarkets...","Tacos are very good!!! Some of the best street tacos I have ever had but they are unsanitary!!! The cook washed his hands with just water. The guy assisting...","The lady at the register knows absolutely nothing about manners. They will slam your items on the counter and expect you to know the total. Not even a ""have...",5,3,1,1
"PAi6ZgsYrbhHeyNcp26QIw","I am so glad that Janssen's is just far enough from my office that it warrants a whole trip in order to go, and so far from my house that we never think to...","We moved to the area two months ago and figured we would give this local business a go, however, the last two times we shopped in this store the cashiers...","I come here often, but lately get so annoyed that none of their employees wear masks, even as they post the new mandate from the governor. Most do   have...",5,1,3,1
"Er7z9IDGqWO4O2sA2eIegg","This is a nice smaller grocery. It carries traditional food and more healthier organic options similar to Whole Foods. Today they seem to be having trouble...","Sprouts is basically Whole Foods without the price point. 

A well lit and well stocked market with a vast produce section and health and beauty section...","I tried out this place for the first time a few days ago. It is a very odd place. You walk in and the lunch meat/deli counter is right up front. They also...",5,4,2,1
"5c_jYz4IolgGdrJLabSTew","Casapullas Elsmere is the place to go for the best Italian Special Sub in Delaware... I've been eating their subs for 50+ years... guaranteed to be your...","Casapulla's is an incredible Italian deli that offers fantastic food. I would recommend either a sun or a cheesesteak. For subs, the Italian is a culinary...","A very nostalgic shop with arguably the best Italian Hoagies. Get the Italian. 
Five stars for the Italian.

Five stars for the eclectic array of chips and...",5,5,4,1
"25btSWnOGwwB2IQMXF7A-A","[1096]

7/2020

I visited this Trader Joe's location during a time of Covid social distancing.  The staff was outside limiting the number of guests that...","Nice place with a lot of good products.
I like frozen section in this store with delicious food.","A lot of hype for prepackaged groceries. It seems they have everything. Either canned or frozen, but not both. I wasn't impressed with the veggie section. I...",5,4,3,1
"181F_T66DQzzdlTkn9ppFQ","Was looking for a rack of beef ribs. I wanted to support local instead of chains, so I went to Longhorn and asked for a rack of beef ribs. I was asked by...","This place is awesome! My father-in-law sent me here to grab some pre-cooked ribs. The second I walked in, I was greeted immediately by the friendly staff....","My Sister got some Ribs from this store, already cooked on the grill, and I was pleasantly surprised, they were really good. I thought they had been cooked...",1,5,5,1
"ziWUY-Vqg_Xe-E25PnOt2A","An excellent source of locally produced fruits and vegetables. The girl that runs this stand really knows her stuff, she's very informative.

The focus is...","I stopped here for lunch in between appointments and I truly believe this place has potential. I had difficulty finding something for lunch and settled on...","I was in the new location before their grand opening. The food from the kitchen is amazing. Creative menu and everything I had was executed to perfection.",4,4,5,1
"Lvmati8d5PQmF2hZO3MYYQ","My girls and I love the Corunna road Seoul Mkt. I would highly recommend checking it out. The owner is very friendly and knowledgeable. Love their teas,...","I went here on a Friday afternoon(November 4th) to get some ingredients that normal grocery stores like Kroger or Wal-Mart don't have. It's a small sized...","Needed to grab some items for my son's bday dinner. I called a couple times to see if they were open, with no answer.  A few mins later I receive a phone...",5,2,5,1
"w4EWout_LrewmTZ6ZyEMCA","This was my first stop at the farmers market during my trip home in Flint. Everything was fresh, I got the chicken shawarma with rice the first time. Very...","As soon as I had my first bite, I was already a fan. Since then, I've become a regular here!

I love their lamb and beef gyros, though their chicken shwarma...","Great food for anyone who enjoys Middle Eastern cuisine.

I really like the food here. It's all-around solid quality at a low price. For me, it's all about...",5,5,4,1
"xmeae2_tXqhl3hsrkhfvXg","Love coming to this place for lunch.  Today I had the chicken salad sandwich, vanilla cream soda from Town Club, a pumkin roll dessert, bbq chips, and a...","5 stars for
1. Local produce
2. Local meats
3. Local dairy
4. They also have great fresh lunches made in house. 
5. Everything is organic when possible
6....","Flint's version of Whole Foods.

A few months ago, thanks to a kickstarter campaign, the owners of the Local Grocer kiosk at the Flint Farmer's Market were...",5,5,4,1
"1_GqMxDqZkY6JrCPiRYg7w","I love the food, their brands are just as good if not better than most name brands. I shop there all the time. The lines move fast, so no time wasted at...","They are regularly out of very common things. No taco seasoning for more than a month now. Want a whole chicken? They gone. The produce doesn't last but a...","This is one of my favorite Aldi's. It is a bit larger, cleaner variety and is just a terrific story. Any store that this company has to be a good...",5,1,5,1
"igz0LFaSoRef-t30luOx2Q","I've been shopping this Publix for more than 20 years and it's the closest to my mom's and daughter's house, so even now when I am visiting- it's still my...","Buyer Beware.....Went in to Publix at Southgate in New Port Richey yesterday and when I returned home I noticed I was over charged for my cherry Yogart....","Normally I'd give this Publix 5+ stars but as of lately I am disappointed. They installed self check outs which to me is not the personal friendly community...",4,1,3,1
"4m8kkwRgGesxVLRXhDl0XQ","Oh my this place is a hidden gem, so glad to have walked in here. It's very clean, organized and well stocked. Thank you to the workers Terry and Jason for...","Most employees had masks one. During these uncertain times, this made me feel a little safer. The store was clean, and well stocked. Not too many folks were...","This is a fairly large store & the only 1 of its kind, I have ever seen. They offer multiple varieties of many products. I was actually suprised by the...",5,5,2,1
"mjwQfKOOVKZ2Xbms5Ospvw","I love this sprouts!!!  The employees are so helpful. They order the food I like and keep it in stock for me.  I drive the extra 40 minutes to shop here.","Excellent customer service. Greeted as soon as I walked in and was offered help if unable to find something. So many choices to select from plus new things...","Absolutely love this place.  Very friendly people who really appreciate your business.  Beautiful, fresh fruits and vegetables including hard to find items...",5,5,5,1
"C9fzNBKrSYl_c6BEuzjUJA","First time in tonight after living in NPR for a year! All I can say is I wish We went there sooner, got the taco special and enchiladas and both were...","I will preface this to state this is a review of the carnitas tacos ONLY.

I am white and my wife is Filipino, so bear in mind we are not Latino. We do feel...","If I could, I'd give it 3.5 stars. If you like authentic Mexican food check out this little place! I was craving some Latin food and this little place hit...",5,3,4,1
"PW3jRMwkMKaHYxU9JioqTA","Produce and prepared foods are top notch quality. Prices are comparable to slightly more expensive than nearby competitors like Krogers but is more...","We try to buy everything organic and gluten-free. We also look for foods that have very few ingredients and that each ingredient is something I know and can...","A little expensive, especially the fresh mushroom, even compared to Whole Foods. Employees are super friendly and extremely helpful, and I can always count...",5,5,4,1
"DE24sg7_zWIsfccfbHhe0w","You are here for one thing, and one thing only...beer.

Having just moved to the area from the beer mecca of New England, I was a little worried that I...","This place is awesome. Quit being so judgmental. Acting all like you know how to judge a book by it's cover when you can't even read. This is one of many...","I have never been so disrespected in my life! A black employee had the nerve to call me racist ""privileged"", due to the fact I buy in bulk and spend...",4,5,1,1
"c3YBHmQck7WjJVEpULqlnA","I dig this place.  It's not value based in the slightest way but that's not the concept.  If you want cheap groceries this is NOT the place.   Take your ass...","Those who frequent Crosstown Concourse know about this hidden gem and once you know you're hooked. This aint your grandmama's steam table. Remixed veggies...","Love this place. Workers are very friendly and the hot bar Monday-Friday is always delicious. Definitely do recommend Wednesday wings though. Also the Mac...",4,4,5,1
"5PHJPH3peDwT7EEwySHjqA","We have lived in Harbor Town now 4 years. Over this time we have enjoyed seeing Miss Cordelia improve. They've installed more coolers for wine, beer and...","I immediately fell in love with this market! They are small and within the Harbor Town community, but have so much to offer. When you walk through the door...","Rude and prideful staff. 
I like stopping by to check the wines, sometimes they get one I like on sale, and for a business with no competition nearby, it's...",5,5,3,1
"EkYGbxjSxeFwb_Z57mxNYA","Great burgers from a family owned business. We went here because my daughter's name is Roxie but the burgers are incredible. The shelves and coolers were...","The Mr. Good Burger was EVERYTHING. The meat was cooked perfectly and simply seasoned with salt and pepper. Keisha was AWESOME and cooked the burger with...","blackfoodFridays! I had the opportunity to check out the famously known black owned Roxies Grocery deli and grill in the heart of Uptown Memphis! 

I am so...",5,5,5,1
"IbnSUVzEmrL-oKgKZXn85g","I've always shopped at ALDI supermarkets for their great pricing and customer service however I recently shopped at this specific ALDI in Opelika, AL and I...","I tracked supermarket expenses for the last 3 months and the conclusion was that we save ~20% by shopping at Aldi. For my family that means about $200 per...","Aldi is the best specialty grocery store in the area. I have been a fan of this chain for years.
Welcome to Opelika, Aldi!",4,5,5,1
"I_jK0LfMX1rBIIj-RXJA2Q","My shop experience at this Walmart was superb.  I drove from Douglasville, Georgia to pick up an item my granddaughter had paid for the previous night with...","Walmart should be ashamed. Prices on the shelves do not match the prices when scanning the item in the store. Several dollars difference on at least 6 of my...","Nice Walmart. Actually have the things I was looking for In it. However there are no buggies to hold the stuff I wanted to buy.",5,1,4,1
"byKXeTrgyBZTn22DQZkpGw","Please try the chicken salad with the apples and a croissant! And there fries are also super good.","Love this place! The market is amazing and has so many great options. The lands and walking areas are very nice. If you're on or around Lake Martin, stock...","Very cool market next to Lake Martin.  Small grocery store with a deli serving food.  We went for a few groceries that we didn't bring along for our weekend...",5,5,5,1
"seWLsOP4t2CKb6aDPx_0Iw","Holy cow never have I been so impressed with the customer service at a grocery store!!! Every employee I walked by said hello and offered help. Everything...","This Publix is clean and service people friendy.  I tried to find jam and walked Across the store twice before I was directed to the last aisle, which by...","Publix describes itself as a venue ""Where Shopping is a Pleasure®.""  Truly a tagline that lives up.  I enjoy shopping at the Publix here despite not loving...",5,4,5,1
"A6DYUnX3WLHCopQ8llUI_A","This store is such an asset to the Auburn/Opelika area. It has a huge inventory, is well organized, and is all-around great,","This is exactly what I've been looking for!! This market has everything you could possibly need and so many different options. 

I went solely looking for...","I used to come here all the time but I move. I like it but the only thing I do not like is most of the cashiers are so rude. They talk to you with an...",5,5,3,1
"dWq8mVvZlm9GaMPFkndnig","I love Aldi and this location is one of the best in Birmingham. Aldi is a one stop shop for all your grocery needs. Fresh produce? Check. Reasonably priced...","This  review is strictly about my experience getting groceries from this store. I have been to a lot of the various aldi's around. But had not actually...","Recently discovered the wonder that is Aldi. Enjoy shopping here. It's definitely no frills, but is fairly tidy and well stocked. The checkout lanes can get...",5,4,5,1
"NhG1LSV4ACftKM-Lv7BdZA","I love shopping in Publix but I really like this location!  It is so well laid out with certain specialty sections really getting a great pop! 

Every...","Publix really kind of sets the bar high as far as super markets goes. I've only had one location that I've been to and written a bad review.

This location...","This is my preferred Publix. Especially love their dedicated catering office. I order a number of cakes for various events during the year and I've always...",5,4,5,1
"yyeBHe9fB_0_sqjjmra8dA","I absolutely love this place. Could I get my normal grocery shopping done here every week? Probably not. Could I get great prices with a large selection on...","YOU ARE A LL THAT I THINK A-BAO!

A couple years back I embarked on a life changing journey, across oceans and many many miles from home. 

This journey not...","I love this super market and am delighted every time I visit. I depend on this store to keep me well stocked in my spices, sauces, oils, kimchi, noodles,...",5,5,5,1
"APDCKr4qjd0k85OSS136bg","I had one asada taco and one pastor taco. Both were delicious!!!!! The asada was wonderfully flavored. The pastor didn't pack as much of a punch, but was...","Ooooohhhh. This place has been on the list for quite some time now. When trying to decide where for lunch, a friend suggested it. Win. For quite some time,...","Unfortunately for me, I have not been in Mexico yet to check how tacos really are where they are from.
But, I have a feeling legitimacy is not questioned...",5,5,5,1
"p4RZxAL7LZudl9LhNlOYkg","I was in Alabama for a week and coming from Los Angeles and Chinatown being a short drive for me, I can be hard on establishments when it comes to...","I visited Uncle Chens inside the Homewood Supermarket. It was quite the experience, and I've decided I prefer cheap Chinese takeout over something that...","A Foodie Cooks paradise, isle after isle of food, condiments, spices, drinks, fresh and frozen items. Meats section was full of proteins you will not find...",5,2,4,1
"1Iw5hRlwjzVsK-_ziefByQ","So, today was my first time visiting this market! They have everything! Any cut of meat you can think of. Deli meat, fruits and veggies (that are fresh)....","So lucky to have a super clean and fresh butcher shop close by.  The product mix is awesome and their service is top notch.  It's butcher shop that looks...","My favorite butcher. Great selection of fresh meat and frozen ones as well. They have anything you need (veggies, sauces, spices) in one convenient place so...",5,5,5,1
"Gx0uyQjozGMf-DcnSx6lzg","I'm giving 4 stars just for not having to wait in line at Starbucks! Not only a shorter line but a lot more options! Coffee, breakfast, a ton of snacks, and...","The Tuna Sandwich was pre made and soggy. I ended up eating half of it and threw the other half away. It was a $10 tuna sandwich! I was surprised because I...","Nice spot for healthy/fresh foods in the McNamara Terminal! Grab and go, you can dine inside and there is also a full bar! I like coming here and just...",4,3,5,1
"h2NWKPrltDxQ6PMGP4VssA","Wonderful fruit  and vegetable market with hard to find produce. I purchased cactus leaves, prickly pears, bags of oranges and grapefruit was so cheap! Love it!","Love the garden section, good choices and healthy plants. Prices better than other garden centers. The veggie market is so so. Some items are good but avoid...","I don't recommend purchasing any plants, trees, or bushes from Randazzo's. They have a NO RETURN OR EXCHANGE policy. I bought two ferns, one of them died...",5,4,1,1
"TqAA3eqD5ti3qAg0_Tf3PA","I never knew Holiday Market was right by me. I usually drive all the way to Nino Salvaggio to shop. I drive past here a few times and decided to stop in to...","After passing by Holiday Market one day back in the summer, I added it to my list of places to check out. This past weekend, as I contemplated what I wanted...","Love coming here as I can always find that obscure Ingredient that I need.   Best of all - most veggies are competitively priced with the chain grocery stores!",5,4,5,1
"E_Ay_fJhErTyol6QJBdOpw","If you want to find real Mexican food (not the texmex junk) this is the place to go. I order here on Taco Tuesdays. The guacamole is wonderful! Just walk...","W O W... We ordered a large takeout today for Father's Day. It was last minute in person- $80 worth of food and they had it finished in 15 minutes. We...","I really really hate that I have to shop here   The short fat lady at the counter is just so unwelcoming and always makes up her own prices and over charges...",5,5,1,1
"oCCp5oE08-n_MfavXmPvIA","Honestly, Houston is 80% of why I wanted to come. He is a professional and hard working. 

Otherwise, wow, I love this place! Items are gourmet, wine...","High quality stuff but limited selection and very overpriced, like a more extreme version of Whole Foods. I bought just a few standard grocery items and was...","Mediocre food at an unreasonably high price.

I work nearby and have recently been exploring the shops and restaurants, so when I saw Neighbor's House and...",5,2,1,1
"gFwV0XvMJH-8TSynd8YMTQ","Great place to stop by for organic items. We truly love the strawberries from here I don't think we have ever had better strawberries than the ones you can...","This is my favorite grocery store!  If you like to eat healthy organic food, this is your place.  A smaller store without all the aisles of junk, but lots...","This is much like the other Natural Grocers I've been to. It has about as many nutritional supplements as food items, and that makes me wonder if a diet of...",5,5,5,1
"KHKpcbbmn-SNhhkL7BvX3A","Best grocery shopping experience, must experience if living in the w7th/downtown area. Has a Starbucks and a bar. Store is always organized and clean. Has...","Love Cheap Chicken Monday!!! Every Monday 6.99 8 pc special. Your choice of fried, mango habanero, or baked. You can even get it mixed. This visit was kind...","This place gets lots of traffic and handles it efficiently with quite a few self checkout stations. Unfortunately, the staff assigned there on my last two...",5,3,2,1
"sDhfJkwjP-Vp4Ku_nXKetg","Stopped in today after church to grab a quick sandwich. They are super friendly. I ordered the club sandwich on potato bread. Lots of meat fresh lettuce,...","I haven't been in this place since I was in my early teens and when it was the old"" RP. This place is cute, updated and the employees that work here are...","great local Fort Worth staple! best for wine, coffee, breakfast and porch vibes! You will not be disappointed, ask for Jace, he's the best!",5,4,5,1
"32kYKRkHACG2j2DnFwoyAg","Was coming here to pick up some stuff for dinner and ran into Sam. He is definitely one of the most friendly and helpful workers here. Took care of my cart...","Thanksgiving is my favorite holiday! The food on the table plays an important part. There were multiple recommendations to try their holiday meal. Let me...","Odd combo on this place. Odd combo is fantastic selections and horrible selections. You would just need to learn the store of course. Super expensive but...",5,5,4,1
"bGUDsYFBfWTYjjAb4B8JJw","This is one of Publix's newly designed stores  in the country & it's in Pike Road. I am liking the new layout. It resembles a Whole Foods & Fresh Market...","Brand new Publix that just opened this year. It's a great location at the corner of Vaughn Rd and Pike Road. It's a new layout compared to the other...","The new Publix in Pike Road is beautifully organized and staged. They gave it a more modern ""cafe"" feel than the Publix Markets in Montgomery. They are also...",4,5,5,1
"9BX2yo8qg60Eg0nocp4Cpg","Super reasonable prices, solid selection and engaging/attentive folks working. Felt very welcome shopping for groceries here!",NA,NA,5,NA,NA,1
"1tqWKssQRbEZof2fqKi4sg","Updating my previous review:  Kudos to the fresh juice bar.  But especially Matata.  She's been masterful in preparing juices and coffees.  My favorite...","I like the selection of fresh produce and meat. There's a good variety of options to choose from and the quality is always good. I like the healthy salad...","Why is this the only WF with almost no food ever in the deli area? Is there not enough traffic to warrant something other than vegan chicken mayonnaise...",5,4,1,1
"8X91DmClrxQUffLup3XeuA","Carol help me find a kale mix it was okay but yeah that's it 10/10 would come here oh also there is never chicken breast idk why","Reviewing this Aldi is tricky.  On one hand, their staff is fantastic, which is about the only reason we don't drive to another Aldi.  On the other hand,...","Decent little ALDI, but I wish it had a larger ""LIDL"" selection -- the items that you would usually find in Europe aren't as common here, sadly. You...",5,3,3,1
"bTtQmonLc3i_ux7rt8H5XA","This is my new favorite store. It's clean and the staff is friendly!! I was able to find produce that is hard to aquire at other stores!","I will never use their online pickup again. My order wasn't right and I was missing things I paid for. The refund process is a huge hit and miss, and I...","Alright Tom, I was unfair to you in my last review. You see, things change when you get a little older, wiser, have kids, or are pregnant. I can now...",5,1,4,1
"8UvJH-Fn5PZKH4Dz2tDZPA","I have been utilizing the grocery pickup service the store offers and have been nothing but satisfied.  

The best part about the service in my opinion is...","I had 1 item too many in the express checkout lane. Was told they could not check me out so I walked out. It was more about the cashiers attitude than...","Deedric (however spelled) needs an attitude adjustment. He was at the checkout counter rolling his eyes at almost everyone that went through his line.",5,1,2,1
"2UXwZVlerJWEp0313b-84w","Thankful for a nice,  warm lunch on a wintry day.   The hot foods selection was plentiful and tasty.   I was able to eat a variety of warm vegetables and it...","Pretty good WFs. I stopped in and got some staples while I'll be nearby for work. I stuck mostly to the perimeter items. Great stuff there. I got beans,...","I love organic and Whole Foods has a lot to offer, but I wish it wasn't so pricey, you can get similar products for a lot less at Costco. Other than that I...",5,3,4,1
"rOJaS7AsvL180_RDR5ksdA","Being a vegetarian, I find this Kroger Ideal. I love the display and the selection of Produce, and the layout of the department. I am in the store at least...","This store sucks. Missed managed is an understatement. Who closes all the self checkout lines at 5 PM on a Sunday afternoon? The lines were so long they...","Definitely the best grocery store around! If you haven't been or new to the area it's so worth checking out. They have a good pick up grocery they are fast....",4,1,5,1
"Ig-Mmf8y-PKB0v-IVke7yA","Our LiDl location has really stepped up their game!
Great merchandise, improved team training and all over, great location!
Nice work!","Pretty sad when you have to leave a store even though you're wearing a mask because your cashier says you must have it over your nose that is not what the...","Lidl's is a great little place with a good variety of merchandise and groceries. They are however limited in what they offer compared to the larger grocery...",5,1,4,1
"fpEzpAmv18jRT6gwOc183g","This is my favorite, go to Grocery Store! They have a great selection of food items for sale at fair prices considering the quality of what is offered. 

We...","This is a super large Harris Teeter and I really only stopped in for some snacks and drinks for the hotel room this evening. The store is open 24 hours and...","This harris teeter located in greenbrier has changed for the worst. There are some new employees that are so rude. Especially the lady lenathia i believe is...",5,5,1,1
"6L8vFMZD7Eri-gtOGqHKig","Always a good place to shop when you need save some money! 
I just went to the other one located on ceder and I feel like this one had some different yet...","Yes, yes, yes on all accounts! If you haven't been to an Aldi, you really don't know what you're missing.

My first encounter with the chain was many years...","Love buying produce from here!  Fresh quality and coat friendly!  

Make sure you bring a quarter for the cart.  But if you forget one you can always ask...",5,5,5,1
"sp_IB1Ed8P5UnmS4RGrntQ","Gas gas. Save 10cents on the gallon..food shopping store was so busy , no shopping carts,you had to go to customers car to get a cart. Lots of bargains. I...","They have nice clean stores and very knowledgeable when grabbing seafood.   The registers are all open with no waiting.   The prices are higher than Walmart...","I Live in Portsmouth and usually travel to Suffolk to patronize that location because of the nasty attitudes @ Frederick blvd Kroger! I ONLY needed crab...",5,5,1,1
"Qdn0cLgAjhfeT_gYDlKsjg","I used to live in Denton but never stepped into Howdy Doody once until last year. My Wife and I took a road trip that thankfully took us through Denton on...","I was debating between 3 and 4 stars for this one. There isn't necessarily anything WRONG with the store,  but there isn't a whole lot right either.  It's...","Howdy Doody is a pretty rad convenience store (sans gas pumps) in our neighborhood. They have craft and local beers in cans and bottles, and a pretty great...",5,4,4,1
"8d-bFsLBGGFTTV10pMmH2Q","I wish I could give them 4 1/2 stars because in 2020 they've been more dependable than a lot of stores and I feel like they need credit for that. There are...","I think this Albertson's is underrated. It's always really clean and I like that the first thing you see when you walk in is their floral department. The...","doug Terrell shift manager very poor management told customer he can't help you if you can't read when asking for help finding service desk absolutely poor...",4,4,1,1
"-c9rSt6sp7IBxrPhLkU4uA","Love sprout came and need some vitamins and so glad I come to Sprout I want give a BIG KUDOS to Gail she help out tremendously with the vitamin that need...","I always enjoy going to Sprouts. This location has always been so clean , organized and friendly . The selection is great,  fruit and produce is so fresh....","They have outstanding produce! The store is always clean and well stocked. The staff is always friendly, and will go out of their way to help. 

The...",5,5,5,1
"YcAnW2DUgBz-BAoH234HMA","I continue to be amazed at the wonderful bakery their bagels and subway rolls I see all the prices are going up and we must not forget the fine everyday job...","So I live in another town and work in Denton ... I save my shopping so I can go to winco ... Love the bulk food area ( coffee is great) and the great...","Only been to one up on university  street in Denton but i liked  the informal box concept",5,4,4,1
